istat_code,name,zip,region
067027,Montefino,64030,Abruzzo
069053,Montelapiano,66040,Abruzzo
069054,Montenerodomo,66010,Abruzzo
069055,Monteodorisio,66050,Abruzzo
066056,Montereale,67015,Abruzzo
068024,Montesilvano,65015,Abruzzo
067028,Montorio al Vomano,64046,Abruzzo
066057,Morino,67050,Abruzzo
067029,Morro d'Oro,64020,Abruzzo
067030,Mosciano Sant'Angelo,64023,Abruzzo
068025,Moscufo,65010,Abruzzo
069056,Mozzagrogna,66030,Abruzzo
066058,Navelli,67020,Abruzzo
067031,Nereto,64015,Abruzzo
068026,Nocciano,65010,Abruzzo
067032,Notaresco,64024,Abruzzo
066059,Ocre,67040,Abruzzo
066060,Ofena,67025,Abruzzo
066061,Opi,67030,Abruzzo
066062,Oricola,67063,Abruzzo
069057,Orsogna,66036,Abruzzo
066063,Ortona dei Marsi,67050,Abruzzo
069058,Ortona,66026,Abruzzo
066064,Ortucchio,67050,Abruzzo
066065,Ovindoli,67046,Abruzzo
066066,Pacentro,67030,Abruzzo
069059,Paglieta,66020,Abruzzo
069060,Palena,66017,Abruzzo
069061,Palmoli,66050,Abruzzo
069062,Palombaro,66010,Abruzzo
067033,Penna Sant'Andrea,64039,Abruzzo
069063,Pennadomo,66040,Abruzzo
069064,Pennapiedimonte,66010,Abruzzo
068027,Penne,65017,Abruzzo
069065,Perano,66040,Abruzzo
066067,Pereto,67064,Abruzzo
068028,Pescara,da65121a65129,Abruzzo
066068,Pescasseroli,67032,Abruzzo
066069,Pescina,67057,Abruzzo
066070,Pescocostanzo,67033,Abruzzo
068029,Pescosansonesco,65020,Abruzzo
066071,Pettorano sul Gizio,67034,Abruzzo
068030,Pianella,65019,Abruzzo
068031,Picciano,65010,Abruzzo
067034,Pietracamela,64047,Abruzzo
069103,Pietraferrazzana,66040,Abruzzo
068032,Pietranico,65020,Abruzzo
067035,Pineto,64025,Abruzzo
069066,Pizzoferrato,66040,Abruzzo
066072,Pizzoli,67017,Abruzzo
066073,Poggio Picenze,67026,Abruzzo
069067,Poggiofiorito,66030,Abruzzo
069068,Pollutri,66020,Abruzzo
068033,Popoli Terme,65026,Abruzzo
066074,Prata d'Ansidonia,67020,Abruzzo
066075,Pratola Peligna,67035,Abruzzo
069069,Pretoro,66010,Abruzzo
066076,Prezza,67030,Abruzzo
069070,Quadri,66040,Abruzzo
066077,Raiano,67027,Abruzzo
069071,Rapino,66010,Abruzzo
069072,Ripa Teatina,66010,Abruzzo
066078,Rivisondoli,67036,Abruzzo
066080,Rocca di Botte,67066,Abruzzo
066081,Rocca di Cambio,67047,Abruzzo
066082,Rocca di Mezzo,67048,Abruzzo
066083,Rocca Pia,67030,Abruzzo
069074,Rocca San Giovanni,66020,Abruzzo
067036,Rocca Santa Maria,64010,Abruzzo
066079,Roccacasale,67030,Abruzzo
069073,Roccamontepiano,66010,Abruzzo
068034,Roccamorice,65020,Abruzzo
066084,Roccaraso,67037,Abruzzo
069075,Roccascalegna,66040,Abruzzo
069076,Roccaspinalveti,66050,Abruzzo
069077,Roio del Sangro,66040,Abruzzo
068035,Rosciano,65020,Abruzzo
069078,Rosello,66040,Abruzzo
067037,Roseto degli Abruzzi,64026,Abruzzo
068036,Salle,65020,Abruzzo
066085,San Benedetto dei Marsi,67058,Abruzzo
066086,San Benedetto in Perillis,67020,Abruzzo
069079,San Buono,66050,Abruzzo
066087,San Demetrio ne' Vestini,67028,Abruzzo
069080,San Giovanni Lipioni,66050,Abruzzo
069081,San Giovanni Teatino,66020,Abruzzo
069082,San Martino sulla Marrucina,66010,Abruzzo
066088,San Pio delle Camere,67020,Abruzzo
069083,San Salvo,66050,Abruzzo
068038,San Valentino in Abruzzo Citeriore,65020,Abruzzo
066092,San Vincenzo Valle Roveto,67050,Abruzzo
069086,San Vito Chietino,66038,Abruzzo
069084,Santa Maria Imbaro,66030,Abruzzo
066089,Sante Marie,67067,Abruzzo
067038,Sant'Egidio alla Vibrata,64016,Abruzzo
068037,Sant'Eufemia a Maiella,65020,Abruzzo
069085,Sant'Eusanio del Sangro,66037,Abruzzo
066090,Sant'Eusanio Forconese,67020,Abruzzo
066091,Santo Stefano di Sessanio,67020,Abruzzo
067039,Sant'Omero,64027,Abruzzo
068039,Scafa,65027,Abruzzo
066093,Scanno,67038,Abruzzo
069087,Scerni,66020,Abruzzo
069088,Schiavi di Abruzzo,66045,Abruzzo
066094,Scontrone,67030,Abruzzo
066095,Scoppito,67019,Abruzzo
066096,Scurcola Marsicana,67068,Abruzzo
066097,Secinaro,67029,Abruzzo
068040,Serramonacesca,65025,Abruzzo
067040,Silvi,64028,Abruzzo
068041,Spoltore,65010,Abruzzo
066098,Sulmona,67039,Abruzzo
066099,Tagliacozzo,67069,Abruzzo
069089,Taranta Peligna,66018,Abruzzo
067041,Teramo,64100,Abruzzo
066100,Tione degli Abruzzi,67020,Abruzzo
068042,Tocco da Casauria,65028,Abruzzo
069090,Tollo,66010,Abruzzo
067042,Torano Nuovo,64010,Abruzzo
069091,Torino di Sangro,66020,Abruzzo
